train.groups,atoms,n.train.atoms,test.fold,seed,algorithm,percent.error
all,41409,16381.8,8,1,cv_glmnet,2.74876305662452
all,41409,25027.2,8,1,cv_glmnet,2.74876305662452
all,41409,41409,8,1,cv_glmnet,2.74876305662452
all,41409,4095.45,8,2,cv_glmnet,2.8587135788895
all,41409,8190.9,8,2,cv_glmnet,2.91368884002199
all,41409,16381.8,8,2,cv_glmnet,2.96866410115448
all,41409,25027.2,8,2,cv_glmnet,2.69378779549203
all,41409,41409,8,2,cv_glmnet,2.74876305662452
all,41409,4095.45,8,3,cv_glmnet,2.96866410115448
all,41409,8190.9,8,3,cv_glmnet,2.8587135788895
all,41409,16381.8,8,3,cv_glmnet,2.80373831775701
all,41409,25027.2,8,3,cv_glmnet,2.96866410115448
all,41409,41409,8,3,cv_glmnet,2.74876305662452
all,41409,4095.45,8,1,cv_glmnet,3.05755395683453
all,41409,8190.9,8,1,cv_glmnet,2.15827338129496
all,41409,16381.8,8,1,cv_glmnet,2.0863309352518
all,41409,25027.2,8,1,cv_glmnet,2.12230215827338
all,41409,41409,8,1,cv_glmnet,1.8705035971223
all,41409,4095.45,8,2,cv_glmnet,2.73381294964029
all,41409,8190.9,8,2,cv_glmnet,2.84172661870504
all,41409,16381.8,8,2,cv_glmnet,1.94244604316547
all,41409,25027.2,8,2,cv_glmnet,2.01438848920863
all,41409,41409,8,2,cv_glmnet,1.94244604316547
all,41409,4095.45,8,3,cv_glmnet,2.37410071942446
all,41409,8190.9,8,3,cv_glmnet,2.12230215827338
all,41409,16381.8,8,3,cv_glmnet,2.05035971223022
all,41409,25027.2,8,3,cv_glmnet,1.94244604316547
all,41409,41409,8,3,cv_glmnet,1.94244604316547
all,41409,4095.45,9,1,cv_glmnet,2.91368884002199
all,41409,8190.9,9,1,cv_glmnet,3.07861462341946
all,41409,16381.8,9,1,cv_glmnet,2.74876305662452
all,41409,25027.2,9,1,cv_glmnet,2.47388675096207
all,41409,41409,9,1,cv_glmnet,2.52886201209456
all,41409,4095.45,9,2,cv_glmnet,3.13358988455195
all,41409,8190.9,9,2,cv_glmnet,3.02363936228697
all,41409,16381.8,9,2,cv_glmnet,2.52886201209456
all,41409,25027.2,9,2,cv_glmnet,2.47388675096207
all,41409,41409,9,2,cv_glmnet,2.58383727322705
all,41409,4095.45,9,3,cv_glmnet,2.80373831775701
all,41409,8190.9,9,3,cv_glmnet,3.13358988455195
all,41409,16381.8,9,3,cv_glmnet,2.58383727322705
all,41409,25027.2,9,3,cv_glmnet,2.3089609675646
all,41409,41409,9,3,cv_glmnet,2.52886201209456
all,41409,4095.45,9,1,cv_glmnet,2.41007194244604
all,41409,8190.9,9,1,cv_glmnet,2.23021582733813
all,41409,16381.8,9,1,cv_glmnet,2.26618705035971
all,41409,25027.2,9,1,cv_glmnet,2.0863309352518
all,41409,41409,9,1,cv_glmnet,2.26618705035971
all,41409,4095.45,9,2,cv_glmnet,2.87769784172662
all,41409,8190.9,9,2,cv_glmnet,2.26618705035971
all,41409,16381.8,9,2,cv_glmnet,2.23021582733813
all,41409,25027.2,9,2,cv_glmnet,2.26618705035971
all,41409,41409,9,2,cv_glmnet,2.26618705035971
all,41409,4095.45,9,3,cv_glmnet,2.9136690647482
all,41409,8190.9,9,3,cv_glmnet,2.26618705035971
all,41409,16381.8,9,3,cv_glmnet,2.23021582733813
all,41409,25027.2,9,3,cv_glmnet,2.15827338129496
all,41409,41409,9,3,cv_glmnet,2.23021582733813
all,41409,4095.45,10,1,cv_glmnet,2.63881253435954
all,41409,8190.9,10,1,cv_glmnet,2.25398570643211
all,41409,16381.8,10,1,cv_glmnet,2.3089609675646
all,41409,25027.2,10,1,cv_glmnet,2.08905992303463
all,41409,41409,10,1,cv_glmnet,2.03408466190214
all,41409,4095.45,10,2,cv_glmnet,2.36393622869709
all,41409,8190.9,10,2,cv_glmnet,1.97910940076965
all,41409,16381.8,10,2,cv_glmnet,2.03408466190214
all,41409,25027.2,10,2,cv_glmnet,2.3089609675646
all,41409,41409,10,2,cv_glmnet,2.03408466190214
all,41409,4095.45,10,3,cv_glmnet,2.96866410115448
